Project Name,Package Name,Type Name,Method Name,Code Smell
java,me.jellysquid.mods.lithium.common.entity.movement,ChunkAwareBlockCollisionSweeper,computeNext,Magic Number
java,me.jellysquid.mods.lithium.common.entity.movement,ChunkAwareBlockCollisionSweeper,computeNext,Magic Number
java,me.jellysquid.mods.lithium.common.entity.movement,ChunkAwareBlockCollisionSweeper,canInteractWithBlock,Magic Number
java,me.jellysquid.mods.lithium.common.entity.movement,ChunkAwareBlockCollisionSweeper,getCollidedShape,Long Parameter List
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,MovementTrackerHelper,calculateNotificationMask,Long Identifier
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,SectionedEntityMovementTracker,Long Identifier
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,hashCode,Long Statement
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,equals,Long Statement
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,register,Long Statement
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,unRegister,Long Statement
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,listenToEntityMovementOnce,Long Identifier
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedEntityMovementTracker,notifyAllListeners,Long Identifier
java,me.jellysquid.mods.lithium.common.entity.movement_tracker,SectionedItemEntityMovementTracker,getEntities,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,tryMoveSingleItem,Complex Conditional
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,tryMoveSingleItem,Complex Conditional
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,tryMoveSingleItem,Long Parameter List
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,tryMoveSingleItem,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,tryMoveSingleItem,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,calculateReducedSignalStrength,Long Parameter List
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,calculateReducedSignalStrength,Magic Number
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,determineComparatorUpdatePattern,Complex Conditional
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,determineComparatorUpdatePattern,Complex Method
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,determineComparatorUpdatePattern,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,HopperHelper,determineComparatorUpdatePattern,Magic Number
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,getLithiumInventory,Complex Conditional
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,getLithiumInventory,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,getLithiumInventory,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$emitStackListReplaced,Long Identifier
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$emitRemoved,Long Identifier
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$emitFirstComparatorAdded,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$forwardMajorInventoryChanges,Long Identifier
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$stopForwardingMajorInventoryChanges,Long Identifier
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$onComparatorAdded,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleInventory,lithium$hasAnyComparatorNearby,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleStackList,getOrCreate,Complex Conditional
java,me.jellysquid.mods.lithium.common.hopper,LithiumDoubleStackList,getOrCreate,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumStackList,set,Long Statement
java,me.jellysquid.mods.lithium.common.hopper,LithiumStackList,calculateSignalStrength,Magic Number
java,me.jellysquid.mods.lithium.common.hopper,LithiumStackList,maybeSendsComparatorUpdatesOnFailedExtract,Long Statement
java,me.jellysquid.mods.lithium.common.reflection,ReflectionUtil,hasMethodOverride,Long Parameter List
java,me.jellysquid.mods.lithium.common.reflection,ReflectionUtil,hasMethodOverride,Long Statement
java,me.jellysquid.mods.lithium.common.reflection,ReflectionUtil,hasMethodOverride,Long Statement
java,me.jellysquid.mods.lithium.common.reflection,ReflectionUtil,isBlockStateEntityTouchable,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,CuboidVoxelSet,CuboidVoxelSet,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Complex Conditional
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,VoxelShapeAlignedCuboid,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,calculatePenetration,Missing default
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,calculatePenetration,Complex Method
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,calculatePenetration,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,getXSegments,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,getYSegments,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,getYSegments,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboid,getZSegments,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,VoxelShapeAlignedCuboidOffset,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,VoxelShapeAlignedCuboidOffset,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Missing default
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Complex Method
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeAlignedCuboidOffset,calculatePenetration,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeHelper,getClosestPointTo,Complex Method
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeHelper,initVoxelSet,Complex Method
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeHelper,initVoxelSet,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeHelper,getIndex,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Complex Conditional
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Complex Method
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
