Project Name,Package Name,Type Name,Code Smell
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.shapes.lists,OffsetFractionalDoubleList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.state,FastImmutableTable,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.state,FastImmutableTable,Insufficient Modularization
java,me.jellysquid.mods.lithium.common.state,StatePropertyTableCache,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,ArrayConstants,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,ChunkConstants,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.common.util,ChunkConstants,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,DirectionConstants,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,EquipmentSlotConstants,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,POIRegistryEntries,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.common.util,POIRegistryEntries,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.util,Pos,Insufficient Modularization
java,me.jellysquid.mods.lithium.common.util.change_tracking,ChangePublisher,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.change_tracking,CountChangeSubscriber,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.change_tracking,CountChangeSubscriber,Rebellious Hierarchy
java,me.jellysquid.mods.lithium.common.util.change_tracking,EnchantmentSubscriber,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.change_tracking,EnchantmentSubscriber,Rebellious Hierarchy
java,me.jellysquid.mods.lithium.common.util.change_tracking,Multi,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,BucketedList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,ChunkTicketSortedArraySet,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,HashedReferenceList,Insufficient Modularization
java,me.jellysquid.mods.lithium.common.util.collections,ListeningList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,ListeningList,Insufficient Modularization
java,me.jellysquid.mods.lithium.common.util.collections,ListeningLong2ObjectOpenHashMap,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,PredicateFilterableList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.collections,PredicateFilteredList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.lock,NullReadWriteLock,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.util.math,MutableVec3d,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.blockentity,BlockEntityGetter,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.blockentity,SupportCache,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.blockview,SingleBlockViewException,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.world.chunk,ChunkHolderExtended,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.chunk,ClassGroupFilterableList,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.chunk,CompactingPackedIntegerArray,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.chunk.heightmap,CombinedHeightmapUpdate,Imperative Abstraction
java,me.jellysquid.mods.lithium.common.world,ChunkAwareEntityIterable,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world,ChunkRandomSource,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world,ChunkView,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world,ClimbingMobCachingSection,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world,ServerWorldExtended,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world,WorldHelper,Deficient Encapsulation
java,me.jellysquid.mods.lithium.common.world,WorldHelper,Missing Hierarchy
java,me.jellysquid.mods.lithium.common.world.interests.iterator,SphereChunkOrderedPoiSetSpliterator,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.interests,PointOfInterestSetExtended,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.interests,PointOfInterestStorageExtended,Unutilized Abstraction
java,me.jellysquid.mods.lithium.common.world.interests.types,PointOfInterestTypeHelper,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.pathing,AbstractBlockStateMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.pathing,BirdPathNodeMakerMixin,Unutilized Abstraction
